% of Total,% من الإجمالي
", {0} failed",، فشل {0}
What are Space Amenities?,ما هي مرافق المساحة؟
What are Space Types?,ما هي أنواع المساحات؟
What is a Space?,ما هي المساحة؟
What would you like to explore?,ماذا تريد أن تستكشف؟
WhatsApp Notifications,إشعارات واتساب
"When a visitor checks in, the host member is automatically notified.",عندما يسجل الزائر دخوله، يتم إشعار العضو المضيف تلقائياً.
Why ARKSpace? — لماذا أرك سبيس؟,لماذا أرك سبيس؟
Withdrawn,مسحوب
Witness / الشاهد,الشاهد
Witness ID / رقم هوية الشاهد,رقم هوية الشاهد
Witness Name / اسم الشاهد,اسم الشاهد
Workflow,سير العمل
Workflows — سير العمل,سير العمل
Working Days / أيام العمل,أيام العمل
Workshop,ورشة عمل
Workspace Lead,عميل محتمل
Workspace Name,اسم مساحة العمل
Workspace Tour,جولة تعريفية
WoW Change,التغيير أسبوعياً
Write something...,اكتب شيئاً...
Yearly,سنوي
Yearly / سنوي,سنوي
Yes,نعم
You are already registered for this event,أنت مسجل بالفعل في هذه الفعالية
You are not registered for this event,أنت غير مسجل في هذه الفعالية
You cannot send a networking request to yourself,لا يمكنك إرسال طلب تواصل لنفسك
You do not have permission to access this data,ليس لديك إذن للوصول إلى هذه البيانات
You're All Set!,أنت جاهز!
You're all set!,أنت جاهز!
Your account has been created. A welcome email has been sent to {0}. Please check your email to set your password.,تم إنشاء حسابك. تم إرسال بريد ترحيبي إلى {0}. يرجى التحقق من بريدك الإلكتروني لتعيين كلمة المرور.
Your booking has been cancelled,تم إلغاء حجزك
Your booking has been confirmed with the following details,تم تأكيد حجزك بالتفاصيل التالية
Your co-working space management hub,مركز إدارة مساحة العمل المشترك الخاص بك
Your company or organization,شركتك أو مؤسستك
Your current membership will be cancelled and a prorated credit may apply.,سيتم إلغاء عضويتك الحالية وقد ينطبق رصيد نسبي.
Your Day Pass,تصريحك
Your day pass is ready. Show the QR code at the front desk.,تصريحك جاهز. أظهر رمز QR في الاستقبال.
Your Details,بياناتك
Your membership has been activated successfully,تم تفعيل عضويتك بنجاح
Your membership is expiring on,عضويتك تنتهي في
Your membership is now active,عضويتك الآن نشطة
Your membership will be automatically renewed. No action is needed.,سيتم تجديد عضويتك تلقائياً. لا حاجة لأي إجراء.
Your networking request was accepted!,تم قبول طلب التواصل الخاص بك!
Your role,دورك
Your visitor <b>{0}</b> has checked in and is waiting for you.,زائرك <b>{0}</b> سجّل دخوله وينتظرك.
Your visitor {0} from {1} has arrived,وصل زائرك {0} من {1}
Your visitor {0} has arrived,زائرك {0} قد وصل
{0} capacity,سعة {0}
{0} checked in (Day Pass),{0} سجل دخول (تصريح يوم)
{0} checked in to {1},{0} سجّل الدخول في {1}
{0} checked in — Badge #{1},{0} تم تسجيل الدخول — شارة #{1}
{0} checked out,{0} تم تسجيل الخروج
{0} checked out (Day Pass),{0} سجل خروج (تصريح يوم)
{0} has arrived,{0} وصل
{0} has left,{0} غادر
{0} legal document(s) found,تم العثور على {0} مستند(مستندات) قانوني
{0} QR codes generated,تم إنشاء {0} رمز QR
{0} — {1} ({2}),{0} — {1} ({2})
{0}: {1},{0}: {1}
{0}: {1} succeeded,{0}: نجح {1}
اختر كياناً واضغط استكشاف,اختر كياناً واضغط استكشاف
التوثيق بالعربية,التوثيق بالعربية
الحجوزات والعملاء,الحجوزات والعملاء
العنوان بالعربية,العنوان بالعربية
المخطط التفاعلي,المخطط التفاعلي
المستكشف,المستكشف
الملخص بالعربية,الملخص بالعربية
حيوي وعصري — إدارة مساحتك بالكامل من نظام واحد,حيوي وعصري — إدارة مساحتك بالكامل من نظام واحد
شبكة المجتمع,شبكة المجتمع
عضو/مستأجر,عضو/مستأجر
ماذا تريد أن تتعلم؟,ماذا تريد أن تتعلم؟
مالك مساحة مشتركة,مالك مساحة مشتركة
محاسب,محاسب
مدير عمليات,مدير عمليات
مرحباً بك في أرك سبيس! 🚀,مرحباً بك في أرك سبيس! 🚀
مركز القيادة,مركز القيادة
🎫 Memberships,🎫 العضويات
🎫 العضويات,🎫 العضويات
🎯 ابدأ الآن!,🎯 ابدأ الآن!
🏢 Spaces & Bookings,🏢 المساحات والحجوزات
🏢 المساحات والحجوزات,🏢 المساحات والحجوزات
👥 Community,👥 المجتمع
👥 المجتمع والتواصل,👥 المجتمع والتواصل
📊 Analytics & Reports,📊 التحليلات والتقارير
📊 التحليلات والتقارير,📊 التحليلات والتقارير
